lat,lon,00:00Z 2026-09-19,00:00Z 2026-09-20,00:00Z 2026-09-21,00:00Z 2026-09-22,00:00Z 2026-09-23,00:00Z 2026-09-24,00:00Z 2026-09-25,00:00Z 2026-09-26,00:00Z 2026-09-27
4.090523,97.11562,0.1599999964237213,0.23000000417232513,4.0,9.15999984741211,4.829999923706055,22.360000610351562,27.56999969482422,0.5799999833106995,0.0
4.090523,97.19876,1.4900000095367432,0.6299999952316284,1.8200000524520874,8.789999961853027,5.880000114440918,12.260000228881836,18.100000381469727,1.2300000190734863,0.0
4.090523,97.28189,1.75,1.0299999713897705,0.9599999785423279,8.0,3.950000047683716,11.1899995803833,13.59000015258789,6.289999961853027,0.0
4.090523,97.36503,2.450000047683716,1.899999976158142,0.7400000095367432,13.90999984741211,0.07000000029802322,19.3700008392334,16.450000762939453,2.5299999713897705,0.0
4.090523,97.448166,9.15999984741211,8.779999732971191,4.510000228881836,71.79000091552734,1.7400000095367432,17.510000228881836,18.34000015258789,2.759999990463257,0.0
4.090523,97.5313,36.91999816894531,9.140000343322754,5.460000038146973,89.47000122070312,7.389999866485596,15.5600004196167,28.059999465942383,14.960000038146973,8.15999984741211
4.090523,97.61444,25.860000610351562,20.65999984741211,17.690000534057617,46.459999084472656,19.459999084472656,20.850000381469727,23.739999771118164,14.029999732971191,15.039999961853027
4.090523,97.69757,19.959999084472656,8.970000267028809,20.809999465942383,6.210000038146973,22.25,19.280000686645508,37.599998474121094,8.40999984741211,4.449999809265137
4.090523,97.78071,33.970001220703125,30.950000762939453,30.18000030517578,7.679999828338623,21.729999542236328,45.900001525878906,7.679999828338623,8.600000381469727,12.4399995803833
4.090523,97.863846,55.560001373291016,38.029998779296875,36.060001373291016,70.23999786376953,14.920000076293945,30.34000015258789,3.4700000286102295,8.319999694824219,22.149999618530273
4.090523,97.94698,75.9800033569336,37.630001068115234,17.209999084472656,12.050000190734863,8.710000038146973,18.030000686645508,13.569999694824219,7.639999866485596,19.610000610351562
4.090523,98.03012,63.40999984741211,31.34000015258789,12.079999923706055,7.949999809265137,6.730000019073486,9.109999656677246,0.1599999964237213,4.309999942779541,42.779998779296875
4.090523,98.11325,74.30999755859375,3.4100000858306885,3.6600000858306885,26.43000030517578,3.490000009536743,1.7599999904632568,0.009999999776482582,3.9200000762939453,45.90999984741211
4.090523,98.19639,22.219999313354492,5.929999828338623,0.14000000059604645,8.8100004196167,0.0,0.47999998927116394,0.0,0.5199999809265137,45.130001068115234
4.090523,98.279526,41.2400016784668,2.119999885559082,0.009999999776482582,2.2899999618530273,0.20000000298023224,7.570000171661377,0.0,0.5600000023841858,18.010000228881836
4.090523,98.36266,14.140000343322754,0.25999999046325684,1.809999942779541,1.2100000381469727,1.9800000190734863,8.029999732971191,0.0,1.690000057220459,4.400000095367432
4.090523,98.4458,6.5,0.0,1.2899999618530273,0.949999988079071,1.309999942779541,9.180000305175781,0.14000000059604645,2.0299999713897705,3.8399999141693115
4.090523,98.52893,4.380000114440918,2.680000066757202,1.9600000381469727,2.5799999237060547,1.7000000476837158,11.8100004196167,0.009999999776482582,2.440000057220459,4.730000019073486
4.090523,98.612076,3.390000104904175,0.4300000071525574,10.970000267028809,2.130000114440918,1.7899999618530273,5.989999771118164,0.0,2.5199999809265137,1.5199999809265137
