lat,lon,00:00Z 2026-09-19,00:00Z 2026-09-20
5.250542,97.3096,2.0199999809265137,0.0
5.250542,97.33732,1.159999966621399,0.0
5.250542,97.36503,0.6899999976158142,0.0
5.250542,97.39274,0.47999998927116394,0.0
5.250542,97.420456,0.30000001192092896,0.0
5.250542,97.448166,0.20999999344348907,0.0
5.250542,97.47587,0.17000000178813934,0.0
5.250542,97.503586,0.10999999940395355,0.0
5.250542,97.5313,0.07999999821186066,0.0
5.250542,97.55901,0.05000000074505806,0.0
5.250542,97.58672,0.009999999776482582,0.0
5.250542,97.61443,0.0,0.0
5.250542,97.64215,0.0,0.0
5.250542,97.66986,0.0,0.0
5.250542,97.69757,0.009999999776482582,0.0
5.250542,97.72528,0.009999999776482582,0.0
5.250542,97.753,0.019999999552965164,0.0
5.250542,97.78071,0.019999999552965164,0.0
5.250542,97.80842,0.019999999552965164,0.0
5.250542,97.836136,0.029999999329447746,0.0
5.250542,97.863846,0.029999999329447746,0.0
5.250542,97.891556,0.029999999329447746,0.0
5.250542,97.919266,0.009999999776482582,0.0
5.250542,97.94698,0.0,0.0
5.250542,97.97469,0.0,0.0
5.250542,98.0024,0.0,0.0
5.250542,98.03011,0.0,0.0
5.250542,98.05783,0.0,0.03999999910593033
5.250542,98.08554,0.0,0.23000000417232513
5.250542,98.11325,0.009999999776482582,0.28999999165534973
5.250542,98.14096,0.029999999329447746,0.2199999988079071
5.250542,98.16868,0.09000000357627869,0.029999999329447746
5.250542,98.19639,0.15000000596046448,0.0
5.250542,98.2241,0.23000000417232513,0.009999999776482582
5.250542,98.251816,0.4399999976158142,0.11999999731779099
5.250542,98.279526,0.47999998927116394,0.1599999964237213
5.250542,98.307236,0.3400000035762787,0.12999999523162842
5.250542,98.334946,0.05999999865889549,0.029999999329447746
5.250542,98.36266,0.0,0.0
5.250542,98.39037,0.0,0.0
5.250542,98.41808,0.10000000149011612,0.0
5.250542,98.44579,0.14000000059604645,0.0
5.250542,98.47351,0.12999999523162842,0.0
5.250542,98.50122,0.03999999910593033,0.0
5.250542,98.52893,0.009999999776482582,0.0
5.250542,98.55665,0.009999999776482582,0.0
5.250542,98.58436,0.029999999329447746,0.0
5.250542,98.612076,0.029999999329447746,0.0
5.250542,98.63978,0.05000000074505806,0.0
5.250542,98.667496,0.10000000149011612,0.0
5.250542,98.695206,0.11999999731779099,0.0
5.250542,98.722916,0.10999999940395355,0.029999999329447746
5.250542,98.750626,0.07999999821186066,0.11999999731779099
5.250542,98.77834,0.07000000029802322,0.14000000059604645
5.250542,98.80605,0.05000000074505806,0.10999999940395355
5.250542,98.83376,0.009999999776482582,0.019999999552965164
5.250542,98.86147,0.0,0.0
5.250542,98.88919,0.0,0.0
5.250542,98.9169,0.0,0.0
5.250542,98.94461,0.0,0.0
5.250542,98.97233,0.0,0.0
5.250542,99.00004,0.0,0.0
5.250542,99.027756,0.0,0.0
5.250542,99.05546,0.0,0.0
5.250542,99.083176,0.0,0.0
5.250542,99.110886,0.009999999776482582,0.009999999776482582
5.250542,99.138596,0.05000000074505806,0.009999999776482582
5.250542,99.166306,0.1899999976158142,0.029999999329447746
5.250542,99.19402,0.25,0.05000000074505806
5.250542,99.22173,0.25,0.10000000149011612
5.250542,99.24944,0.1599999964237213,0.18000000715255737
5.250542,99.27716,0.10999999940395355,0.25999999046325684
5.250542,99.30487,0.05999999865889549,0.3199999928474426
5.250542,99.33258,0.019999999552965164,0.3700000047683716
5.250542,99.36029,0.009999999776482582,0.3400000035762787
5.250542,99.38801,0.0,0.20999999344348907
5.250542,99.41572,0.0,0.03999999910593033
5.250542,99.443436,0.0,0.019999999552965164
5.250542,99.47114,0.0,0.05000000074505806
5.250542,99.498856,0.0,0.17000000178813934
5.250542,99.526566,0.0,0.27000001072883606
5.250542,99.554276,0.029999999329447746,0.38999998569488525
5.250542,99.581985,0.12999999523162842,0.49000000953674316
5.250542,99.6097,0.17000000178813934,1.0700000524520874
5.250542,99.63741,0.15000000596046448,2.1500000953674316
5.250542,99.66512,0.07999999821186066,4.039999961853027
5.250542,99.69284,0.09000000357627869,5.079999923706055
5.250542,99.72055,0.3199999928474426,5.03000020980835
5.250542,99.74826,0.9200000166893005,4.449999809265137
5.250542,99.77597,1.1100000143051147,3.4600000381469727
5.250542,99.80369,0.9700000286102295,2.0
5.250542,99.8314,0.6000000238418579,0.5299999713897705
5.250542,99.8591,0.5,0.05000000074505806
5.250542,99.88682,0.5299999713897705,0.07999999821186066
5.250542,99.914536,0.7300000190734863,0.20999999344348907
5.250542,99.942245,0.7400000095367432,0.3100000023841858
5.250542,99.969955,0.5699999928474426,0.4399999976158142
5.250542,99.997665,0.12999999523162842,0.699999988079071
5.250542,100.02538,0.029999999329447746,0.7599999904632568
5.250542,100.05309,0.07999999821186066,0.6399999856948853
5.250542,100.0808,0.5,0.3100000023841858
5.250542,100.10852,0.6499999761581421,0.17000000178813934
5.250542,100.13623,0.6399999856948853,0.10000000149011612
5.250542,100.16394,0.49000000953674316,0.019999999552965164
5.250542,100.19165,0.47999998927116394,0.0
5.250542,100.21937,0.47999998927116394,0.0
5.250542,100.24708,0.38999998569488525,0.0
5.250542,100.27478,0.3199999928474426,0.0
5.250542,100.3025,0.20000000298023224,0.0
5.250542,100.330215,0.03999999910593033,0.0
5.250542,100.357925,0.0,0.0
5.250542,100.385635,0.0,0.0
5.250542,100.413345,0.009999999776482582,0.0
5.250542,100.44106,0.0,0.0
5.250542,100.46877,0.009999999776482582,0.0
5.250542,100.49648,0.10000000149011612,0.0
5.250542,100.5242,0.20000000298023224,0.0
5.250542,100.55191,1.309999942779541,0.0
5.250542,100.57962,4.539999961853027,0.0
5.250542,100.60733,5.840000152587891,0.0
5.250542,100.63505,5.139999866485596,0.0
5.250542,100.66276,1.9900000095367432,0.0
5.250542,100.69046,0.6800000071525574,0.0
5.250542,100.71818,0.6399999856948853,0.03999999910593033
5.250542,100.745895,0.9599999785423279,0.20000000298023224
5.250542,100.773605,1.0199999809265137,0.25
5.250542,100.801315,0.8999999761581421,0.1599999964237213
5.250542,100.829025,0.5600000023841858,0.14000000059604645
5.250542,100.85674,0.6299999952316284,0.07999999821186066
5.250542,100.88445,1.0499999523162842,3.8399999141693115
5.250542,100.91216,2.5799999237060547,18.149999618530273
5.250542,100.93988,3.049999952316284,28.049999237060547
5.250542,100.96759,2.7200000286102295,29.15999984741211
5.250542,100.9953,1.9299999475479126,20.559999465942383
5.250542,101.02301,1.6699999570846558,15.979999542236328
5.250542,101.05073,1.350000023841858,12.430000305175781
5.250542,101.07844,0.38999998569488525,6.579999923706055
5.250542,101.10615,0.1599999964237213,3.2899999618530273
5.250542,101.13386,0.5400000214576721,1.7899999618530273
5.250542,101.161575,2.049999952316284,0.9800000190734863
5.250542,101.189285,2.859999895095825,0.5600000023841858
5.250542,101.216995,2.9100000858306885,0.5600000023841858
5.250542,101.24471,1.9500000476837158,0.7599999904632568
5.250542,101.27242,1.7300000190734863,0.9300000071525574
5.250542,101.30013,2.2799999713897705,1.1799999475479126
5.250542,101.32784,4.320000171661377,2.0799999237060547
5.250542,101.35556,6.349999904632568,2.7799999713897705
5.250542,101.38327,8.640000343322754,3.369999885559082
5.250542,101.41098,11.739999771118164,4.260000228881836
5.250542,101.43869,14.0600004196167,5.550000190734863
5.250542,101.46641,15.899999618530273,14.380000114440918
5.250542,101.49412,18.790000915527344,48.29999923706055
5.250542,101.52183,21.530000686645508,69.12000274658203
5.250542,101.54954,23.729999542236328,65.1500015258789
5.250542,101.577255,27.1299991607666,37.119998931884766
5.250542,101.604965,29.850000381469727,23.020000457763672
5.250542,101.632675,32.9900016784668,14.899999618530273
5.250542,101.66039,37.31999969482422,7.570000171661377
5.250542,101.6881,38.189998626708984,4.130000114440918
5.250542,101.71581,35.40999984741211,2.859999895095825
5.250542,101.74352,27.15999984741211,1.75
5.250542,101.77124,21.829999923706055,1.6100000143051147
5.250542,101.79895,17.40999984741211,2.9100000858306885
5.250542,101.82667,13.100000381469727,6.119999885559082
5.250542,101.85437,9.829999923706055,8.640000343322754
5.250542,101.88209,7.329999923706055,16.510000228881836
5.250542,101.9098,4.590000152587891,39.83000183105469
5.250542,101.93751,2.859999895095825,55.369998931884766
5.250542,101.96522,1.8899999856948853,56.630001068115234
5.250542,101.992935,1.190000057220459,45.15999984741211
5.250542,102.020645,0.800000011920929,44.02000045776367
5.250542,102.048355,0.6499999761581421,45.79999923706055
5.250542,102.07607,0.6499999761581421,52.150001525878906
5.250542,102.10378,0.5699999928474426,55.599998474121094
5.250542,102.13149,0.47999998927116394,55.310001373291016
5.250542,102.1592,0.5099999904632568,52.619998931884766
5.250542,102.18692,0.5699999928474426,47.619998931884766
5.250542,102.21463,4.0,39.13999938964844
5.250542,102.24235,12.430000305175781,26.989999771118164
5.250542,102.27005,18.889999389648438,17.799999237060547
5.250542,102.29777,25.719999313354492,11.449999809265137
5.250542,102.32548,34.81999969482422,6.699999809265137
5.250542,102.35319,37.189998626708984,3.7200000286102295
5.250542,102.380905,31.799999237060547,2.5799999237060547
5.250542,102.408615,19.969999313354492,3.0799999237060547
5.250542,102.436325,14.520000457763672,3.2799999713897705
5.250542,102.464035,11.579999923706055,2.9200000762939453
5.250542,102.49175,9.380000114440918,2.2699999809265137
5.250542,102.51946,8.199999809265137,2.319999933242798
5.250542,102.54717,8.460000038146973,2.490000009536743
5.250542,102.57488,10.670000076293945,2.7200000286102295
5.250542,102.6026,10.619999885559082,3.009999990463257
5.250542,102.63031,8.010000228881836,3.0999999046325684
5.250542,102.65803,3.299999952316284,2.9000000953674316
5.250542,102.68573,1.590000033378601,2.549999952316284
5.250542,102.71345,0.9800000190734863,1.7300000190734863
5.250542,102.74116,0.6600000262260437,0.5799999833106995
5.250542,102.76887,0.5099999904632568,0.18000000715255737
5.250542,102.796585,0.36000001430511475,0.11999999731779099
5.250542,102.824295,0.1599999964237213,0.10999999940395355
5.250542,102.852005,0.09000000357627869,0.12999999523162842
5.250542,102.879715,0.05999999865889549,0.14000000059604645
5.250542,102.90743,0.05999999865889549,0.11999999731779099
